"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"PAIMPAG","198404","280.318","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198405","471.137","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198406","301.656","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198407","331.844","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198408","404.176","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198409","358.941","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198410","332.644","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198411","298.015","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198412","204.246","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198413","323.115","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198501","111.605","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198502","173.979","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198503","247.261","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198504","285.63","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198505","254.858","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198506","178.244","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198507","124.582","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198508","135.306","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198509","146.595","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198510","176.644","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198511","164.476","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198512","243.914","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198513","186.956","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198601","215.051","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198602","156.536","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198603","259.716","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198604","275.424","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198605","192.873","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198606","319.248","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198607","310.091","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198608","362.589","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198609","245.429","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198610","305.13","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198611","310.815","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198612","290.517","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198613","271.029","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198701","155.905","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198702","306.556","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198703","334.277","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198704","322.866","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198705","196.044","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198706","247.275","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198707","347.036","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198708","249.747","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198709","377.775","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198710","273.659","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198711","394.585","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198712","338.763","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198713","294.841","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198801","332.642","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198802","358.24","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198803","259.202","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198804","341.691","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198805","320.29","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198806","262.03","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198807","224.916","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198808","257.304","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198809","288.951","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198810","326.277","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198811","321.799","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198812","312.203","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198813","300.112","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198901","334.613","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198902","310.393","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198903","272.323","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
